Country_Code,Country_Name,Olympic_ID,Olympic_Year,Total_No_Of_Medals,Total_No_Of_Gold_Medals,Total_No_Of_Silver_Medals,Total_No_Of_Bronze_Medals,Total_No_Of_Players_Participated,No_Of_Women_Players_Participated,No_Of_Men_Players_Participated,Male_Female_Ratio,No_Of_Players_Won,No_Of_Players_Lose
NEP,Nepal,5,2016,0,0,0,0,7,4,3,0.75,0,7
CZE,Czech Republic-1,2,2010,0,0,0,0,4,0,4,0.0,0,4
MEX,Mexico,2,2010,0,0,0,0,2,0,2,0.0,0,2
RSA,South Africa,3,2012,9,6,2,1,145,61,84,1.3770491803278688,9,136
BAR,Barbados,3,2012,0,0,0,0,8,0,8,0.0,0,8
SUI,Switzerland-2,3,2012,0,0,0,0,2,0,2,0.0,0,2
BUL,Bulgaria,2,2010,0,0,0,0,41,15,26,1.7333333333333334,0,41
ITA,Italy-2,3,2012,0,0,0,0,4,3,1,0.3333333333333333,0,4
SVK,Slovakia,5,2016,8,3,5,0,63,24,39,1.625,8,55
FRA,France-1,5,2016,0,0,0,0,4,1,3,3.0,0,4
SEY,Seychelles,3,2012,0,0,0,0,6,2,4,2.0,0,6
DMA,Dominica,3,2012,0,0,0,0,2,1,1,1.0,0,2
NOR,Norway,2,2010,39,16,14,9,190,55,135,2.4545454545454546,39,151
POR,Portugal,5,2016,1,0,0,1,106,34,72,2.1176470588235294,1,105
SUI,Switzerland-2,5,2016,0,0,0,0,2,2,0,0.0,0,2
BRU,Brunei,5,2016,0,0,0,0,3,1,2,2.0,0,3
KOR,South Korea,2,2010,18,6,10,2,84,35,49,1.4,18,66
INA,Indonesia-1,5,2016,2,2,0,0,2,1,1,1.0,2,0
SUI,Switzerland-1,4,2014,2,0,2,0,2,0,2,0.0,2,0
DJI,Djibouti,3,2012,0,0,0,0,4,2,2,1.0,0,4
TLS,Timor Leste,3,2012,0,0,0,0,2,1,1,1.0,0,2
ITA,Italy,2,2010,5,1,1,3,196,78,118,1.5128205128205128,5,191
USA,United States,5,2016,256,137,52,67,699,359,340,0.947075208913649,256,443
AUS,Australia-1,5,2016,0,0,0,0,4,4,0,0.0,0,4
FRA,France-2,5,2016,0,0,0,0,4,1,3,3.0,0,4
SUI,Switzerland,3,2012,4,2,2,0,122,37,85,2.2972972972972974,4,118
GUI,Guinea,3,2012,0,0,0,0,4,2,2,1.0,0,4
FRA,France-1,3,2012,2,0,2,0,2,0,2,0.0,2,0
TOG,Togo,4,2014,0,0,0,0,3,3,0,0.0,0,3
IND,India-2,3,2012,0,0,0,0,2,0,2,0.0,0,2
ANG,Angola,5,2016,0,0,0,0,26,18,8,0.4444444444444444,0,26
GUY,Guyana,5,2016,0,0,0,0,7,4,3,0.75,0,7
COD,Congo (Kinshasa),5,2016,0,0,0,0,4,2,2,1.0,0,4
EGY,Egypt,5,2016,3,0,0,3,137,46,91,1.9782608695652173,3,134
ISV,United States Virgin Islands,4,2014,0,0,0,0,2,2,0,0.0,0,2
ITA,Italy,4,2014,14,0,2,12,215,92,123,1.3369565217391304,14,201
INA,Indonesia,3,2012,2,0,1,1,22,9,13,1.4444444444444444,2,20
ISR,Israel,3,2012,0,0,0,0,56,23,33,1.434782608695652,0,56
IOA,Individual Olympic Athletes,3,2012,0,0,0,0,4,1,3,3.0,0,4
JAM,Jamaica,5,2016,30,11,17,2,77,43,34,0.7906976744186046,30,47
ARG,Argentina-1,5,2016,0,0,0,0,2,0,2,0.0,0,2
FIN,Finland,4,2014,33,2,7,24,147,52,95,1.8269230769230769,33,114
CHA,Chad,3,2012,0,0,0,0,2,2,0,0.0,0,2
NIG,Niger,3,2012,0,0,0,0,6,2,4,2.0,0,6
KEN,Kenya,5,2016,13,6,6,1,80,34,46,1.3529411764705883,13,67
CAM,Cambodia,5,2016,0,0,0,0,6,4,2,0.5,0,6
MAR,Morocco,4,2014,0,0,0,0,4,2,2,1.0,0,4
GBR,Great Britain,4,2014,10,1,4,5,70,31,39,1.2580645161290323,10,60
GBR,Great Britain-1,4,2014,0,0,0,0,4,0,4,0.0,0,4
PAN,Panama,3,2012,0,0,0,0,8,2,6,3.0,0,8
KOR,South Korea,5,2016,24,13,3,8,255,114,141,1.236842105263158,24,231
AUS,Australia-2,5,2016,0,0,0,0,4,4,0,0.0,0,4
PAR,Paraguay,4,2014,0,0,0,0,1,1,0,0.0,0,1
BIZ,Belize,3,2012,0,0,0,0,3,1,2,2.0,0,3
AFG,Afghanistan,5,2016,0,0,0,0,3,1,2,2.0,0,3
AND,Andorra,3,2012,0,0,0,0,6,2,4,2.0,0,6
AUS,Australia,2,2010,3,2,1,0,44,23,21,0.9130434782608695,3,41
MTN,Mauritania,3,2012,0,0,0,0,2,1,1,1.0,0,2
GBS,Guinea Bissau,3,2012,0,0,0,0,4,2,2,1.0,0,4
VIN,Saint Vincent and the Grenadines,3,2012,0,0,0,0,3,1,2,2.0,0,3
IRL,Ireland,5,2016,3,0,3,0,93,31,62,2.0,3,90
TJK,Tajikistan,4,2014,0,0,0,0,1,0,1,0.0,0,1
ARM,Armenia,3,2012,3,0,1,2,31,4,27,6.75,3,28
HKG,Hong Kong,2,2010,0,0,0,0,3,3,0,0.0,0,3
ANT,Antigua and Barbuda,5,2016,0,0,0,0,9,2,7,3.5,0,9
CGO,Congo (Brazzaville),5,2016,0,0,0,0,10,3,7,2.3333333333333335,0,10
NOR,Norway,3,2012,17,15,1,1,69,32,37,1.15625,17,52
BDI,Burundi,5,2016,1,0,1,0,10,4,6,1.5,1,9
ESP,Spain-2,3,2012,0,0,0,0,4,2,2,1.0,0,4
PHI,Philippines,5,2016,1,0,1,0,13,6,7,1.1666666666666667,1,12
SUR,Suriname,5,2016,0,0,0,0,6,2,4,2.0,0,6
AUS,Australia,4,2014,3,0,2,1,84,43,41,0.9534883720930233,3,81
COM,Comoros,3,2012,0,0,0,0,3,2,1,0.5,0,3
IND,India-1,3,2012,0,0,0,0,2,0,2,0.0,0,2
BLR,Belarus,5,2016,12,1,4,7,142,77,65,0.8441558441558441,12,130
USA,United States-1,5,2016,4,0,2,2,10,5,5,1.0,4,6
SYR,Syria,5,2016,0,0,0,0,7,3,4,1.3333333333333333,0,7
POL,Poland,3,2012,12,2,2,8,252,107,145,1.355140186915888,12,240
BRA,Brazil-1,3,2012,4,0,2,2,6,2,4,2.0,4,2
FRA,France,4,2014,18,4,4,10,189,72,117,1.625,18,171
MNE,Montenegro,4,2014,0,0,0,0,3,1,2,2.0,0,3
CHN,China-2,4,2014,0,0,0,0,2,1,1,1.0,0,2
TJK,Tajikistan,3,2012,1,0,0,1,16,3,13,4.333333333333333,1,15
BRA,Brazil-2,3,2012,0,0,0,0,6,2,4,2.0,0,6
ARM,Armenia,2,2010,0,0,0,0,6,3,3,1.0,0,6
SLE,Sierra Leone,5,2016,0,0,0,0,4,2,2,1.0,0,4
BOL,Bolivia,5,2016,0,0,0,0,12,6,6,1.0,0,12
LCA,Saint Lucia,5,2016,0,0,0,0,5,3,2,0.6666666666666666,0,5
HUN,Hungary,3,2012,26,12,8,6,201,88,113,1.2840909090909092,26,175
EST,Estonia,5,2016,4,0,0,4,49,21,28,1.3333333333333333,4,45
CAN,Canada-1,5,2016,0,0,0,0,4,2,2,1.0,0,4
NEP,Nepal,4,2014,0,0,0,0,1,0,1,0.0,0,1
AUS,Australia-1,3,2012,0,0,0,0,4,4,0,0.0,0,4
FIN,Finland,5,2016,1,0,0,1,67,33,34,1.0303030303030303,1,66
ROT,Refugee Olympic Athletes,5,2016,0,0,0,0,12,5,7,1.4,0,12
MLI,Mali,5,2016,0,0,0,0,6,2,4,2.0,0,6
FIN,Finland,3,2012,5,0,1,4,69,37,32,0.8648648648648649,5,64
LIB,Lebanon,2,2010,0,0,0,0,6,4,2,0.5,0,6
SYR,Syria,3,2012,0,0,0,0,10,4,6,1.5,0,10
MAR,Morocco,5,2016,1,0,0,1,52,21,31,1.4761904761904763,1,51
ECU,Ecuador,5,2016,0,0,0,0,40,16,24,1.5,0,40
TTO,Trinidad and Tobago,5,2016,1,0,0,1,43,18,25,1.3888888888888888,1,42
KGZ,Kyrgyzstan,4,2014,0,0,0,0,2,0,2,0.0,0,2
BEN,Benin,3,2012,0,0,0,0,5,1,4,4.0,0,5
CAN,Canada,2,2010,80,63,13,4,279,130,149,1.146153846153846,80,199
FIN,Finland,2,2010,47,0,1,46,146,53,93,1.7547169811320755,47,99
GHA,Ghana,5,2016,0,0,0,0,15,8,7,0.875,0,15
CHI,Chile,5,2016,0,0,0,0,47,21,26,1.2380952380952381,0,47
VIN,Saint Vincent and the Grenadines,5,2016,0,0,0,0,4,2,2,1.0,0,4
FRA,France-1,4,2014,0,0,0,0,6,1,5,5.0,0,6
MAR,Morocco,3,2012,1,0,0,1,67,19,48,2.526315789473684,1,66
POL,Poland-1,3,2012,0,0,0,0,2,2,0,0.0,0,2
ITA,Italy-1,3,2012,0,0,0,0,4,3,1,0.3333333333333333,0,4
POR,Portugal,2,2010,0,0,0,0,1,0,1,0.0,0,1
QAT,Qatar,5,2016,1,0,1,0,42,2,40,20.0,1,41
MGL,Mongolia,5,2016,2,0,1,1,46,20,26,1.3,2,44
MYA,Myanmar,5,2016,0,0,0,0,8,3,5,1.6666666666666667,0,8
GER,Germany-1,3,2012,2,2,0,0,8,5,3,0.6,2,6
SRB,Serbia,2,2010,0,0,0,0,15,8,7,0.875,0,15
DEN,Denmark,2,2010,0,0,0,0,23,10,13,1.3,0,23
MNE,Montenegro,5,2016,0,0,0,0,35,18,17,0.9444444444444444,0,35
ROU,Romania,4,2014,0,0,0,0,40,15,25,1.6666666666666667,0,40
CPV,Cape Verde,3,2012,0,0,0,0,3,2,1,0.5,0,3
MAD,Madagascar,3,2012,0,0,0,0,7,4,3,0.75,0,7
SRB,Serbia-1,3,2012,0,0,0,0,2,0,2,0.0,0,2
AUT,Austria,2,2010,24,9,9,6,124,41,83,2.024390243902439,24,100
MON,Monaco,5,2016,0,0,0,0,8,0,8,0.0,0,8
ISR,Israel,4,2014,0,0,0,0,6,1,5,5.0,0,6
CZE,Czech Republic,2,2010,9,2,0,7,164,52,112,2.1538461538461537,9,155
STP,Sao Tome and Principe,3,2012,0,0,0,0,2,1,1,1.0,0,2
ITA,Italy-2,2,2010,0,0,0,0,6,1,5,5.0,0,6
GBS,Guinea Bissau,5,2016,0,0,0,0,5,2,3,1.5,0,5
IRI,Iran,2,2010,0,0,0,0,7,2,5,2.5,0,7
GBR,Great Britain-2,3,2012,2,0,2,0,6,2,4,2.0,2,4
KOR,South Korea-1,3,2012,2,0,0,2,4,2,2,1.0,2,2
KIR,Kiribati,5,2016,0,0,0,0,3,1,2,2.0,0,3
MKD,Macedonia,4,2014,0,0,0,0,6,1,5,5.0,0,6
LUX,Luxembourg,3,2012,0,0,0,0,11,4,7,1.75,0,11
NED,Netherlands-2,3,2012,0,0,0,0,2,2,0,0.0,0,2
GRN,Grenada,5,2016,1,0,1,0,6,1,5,5.0,1,5
UKR,Ukraine-1,2,2010,0,0,0,0,4,1,3,3.0,0,4
LAO,Laos,5,2016,0,0,0,0,5,2,3,1.5,0,5
KEN,Kenya,3,2012,11,2,4,5,51,22,29,1.3181818181818181,11,40
USA,United States-2,3,2012,2,0,2,0,10,5,5,1.0,2,8
BHU,Bhutan,3,2012,0,0,0,0,2,2,0,0.0,0,2
FRA,France,5,2016,96,20,55,21,504,215,289,1.344186046511628,96,408
COM,Comoros,5,2016,0,0,0,0,4,2,2,1.0,0,4
BIH,Bosnia and Herzegovina,4,2014,0,0,0,0,14,5,9,1.8,0,14
BRN,Bahrain,3,2012,1,0,0,1,14,10,4,0.4,1,13
HKG,Hong Kong,5,2016,0,0,0,0,47,30,17,0.5666666666666667,0,47
TPE,Chinese Taipei,5,2016,5,1,0,4,67,36,31,0.8611111111111112,5,62
ANG,Angola,3,2012,0,0,0,0,35,29,6,0.20689655172413793,0,35
LAT,Latvia-1,3,2012,2,0,0,2,2,0,2,0.0,2,0
TGA,Tonga,5,2016,0,0,0,0,7,3,4,1.3333333333333333,0,7
CAN,Canada-3,4,2014,0,0,0,0,12,2,10,5.0,0,12
CHN,China-1,4,2014,0,0,0,0,2,1,1,1.0,0,2
LAO,Laos,3,2012,0,0,0,0,3,1,2,2.0,0,3
NGR,Nigeria,5,2016,18,0,0,18,77,28,49,1.75,18,59
NRU,Nauru,5,2016,0,0,0,0,2,0,2,0.0,0,2
PAK,Pakistan,5,2016,0,0,0,0,7,3,4,1.3333333333333333,0,7
