Country_Code,Country_Name,Olympic_ID,Olympic_Year,Total_No_Of_Medals,Total_No_Of_Gold_Medals,Total_No_Of_Silver_Medals,Total_No_Of_Bronze_Medals,Total_No_Of_Players_Participated,No_Of_Women_Players_Participated,No_Of_Men_Players_Participated,Male_Female_Ratio,No_Of_Players_Won,No_Of_Players_Lose
MNE,Montenegro,1,2008,0,0,0,0,20,2,18,9.0,0,20
BIH,Bosnia and Herzegovina,1,2008,0,0,0,0,7,1,6,6.0,0,7
SWE,Sweden-2,1,2008,2,0,2,0,2,0,2,0.0,2,0
PAR,Paraguay,1,2008,0,0,0,0,7,4,3,0.75,0,7
NOR,Norway-2,1,2008,0,0,0,0,2,2,0,0.0,0,2
TTO,Trinidad and Tobago,1,2008,6,5,1,0,35,13,22,1.6923076923076923,6,29
RUS,Russia,1,2008,142,43,46,53,592,281,311,1.106761565836299,142,450
AUS,Australia-1,1,2008,0,0,0,0,4,2,2,1.0,0,4
ALG,Algeria,2,2010,0,0,0,0,1,0,1,0.0,0,1
TJK,Tajikistan,1,2008,2,0,1,1,16,3,13,4.333333333333333,2,14
GHA,Ghana,1,2008,0,0,0,0,9,1,8,8.0,0,9
HUN,Hungary,1,2008,27,16,8,3,216,103,113,1.0970873786407767,27,189
BER,Bermuda,1,2008,0,0,0,0,6,4,2,0.5,0,6
BOL,Bolivia,1,2008,0,0,0,0,7,3,4,1.3333333333333333,0,7
GRE,Greece-1,1,2008,0,0,0,0,2,2,0,0.0,0,2
ESA,El Salvador,1,2008,0,0,0,0,14,10,4,0.4,0,14
CHI,Chile,1,2008,1,0,1,0,29,7,22,3.142857142857143,1,28
LAT,Latvia-2,2,2010,0,0,0,0,2,0,2,0.0,0,2
POR,Notavel,1,2008,0,0,0,0,1,0,1,0.0,0,1
SWE,Briar,1,2008,0,0,0,0,1,0,1,0.0,0,1
